iter,k_added_total,new_units,status,conflicts,cpu_time,cnf_path,log_path
0,0,,UNSAT,1301,0.003479,shared/cnf/n120_s2_v1_iter0.cnf,shared/logs/n120_s2_v1_iter0.log
1,1,51,UNSAT,639,0.002403,shared/cnf/n120_s2_v1_iter1.cnf,shared/logs/n120_s2_v1_iter1.log
2,2,51,UNSAT,639,0.004861,shared/cnf/n120_s2_v1_iter2.cnf,shared/logs/n120_s2_v1_iter2.log
3,3,51,UNSAT,639,0.004701,shared/cnf/n120_s2_v1_iter3.cnf,shared/logs/n120_s2_v1_iter3.log
4,4,51,UNSAT,639,0.003164,shared/cnf/n120_s2_v1_iter4.cnf,shared/logs/n120_s2_v1_iter4.log
5,5,51,UNSAT,639,0.004992,shared/cnf/n120_s2_v1_iter5.cnf,shared/logs/n120_s2_v1_iter5.log
6,6,51,UNSAT,639,0.003534,shared/cnf/n120_s2_v1_iter6.cnf,shared/logs/n120_s2_v1_iter6.log
7,7,51,UNSAT,639,0.004569,shared/cnf/n120_s2_v1_iter7.cnf,shared/logs/n120_s2_v1_iter7.log
8,8,51,UNSAT,639,0.004653,shared/cnf/n120_s2_v1_iter8.cnf,shared/logs/n120_s2_v1_iter8.log
9,9,51,UNSAT,639,0.003053,shared/cnf/n120_s2_v1_iter9.cnf,shared/logs/n120_s2_v1_iter9.log
10,10,51,UNSAT,639,0.004083,shared/cnf/n120_s2_v1_iter10.cnf,shared/logs/n120_s2_v1_iter10.log
